"slide","topics","work_sheets"
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Dataflow",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Dead_code",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Instruction_pipelining",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Interview",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Partition_of_a_set",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Decidability_(logic)",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Lattice_graph",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Aliasing",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Abstract_syntax_tree",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Debugging",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Strength_reduction",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Semantics",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Upper_and_lower_bounds",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Machine_learning",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Offender_profiling",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Java_virtual_machine",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Inheritance_(object-oriented_programming)",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Parsing",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Formal_grammar",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Wave_function",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Definiteness_of_a_matrix",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/California_Lutheran_University",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Register_allocation",
"http://localhost:3030/IS_Project/C%3A%5CUsers%5CManthan%20Moradiya%5CDesktop%5CChat-bot%5Ccourses%5CSOEN6431%5Cslides%5Cslides_4.pdf","http://dbpedia.org/resource/Memory_management",
