course,lec,topic
COMP6741,1,Reading
COMP6741,1,Personalization
COMP6741,1,Apache_Solr
COMP6741,1,Elasticsearch
COMP6741,1,Natural_language_processing
COMP6741,1,Data_model
COMP6741,1,Mona_Lisa
COMP6741,1,Europeana
COMP6741,1,DBpedia
COMP6741,1,SQL
COMP6741,1,Resource_Description_Framework
COMP6741,1,FOAF_(ontology)
COMP6741,1,Natural_language_processing
COMP6741,1,Massachusetts_Institute_of_Technology
COMP6741,1,Stanford_University
COMP6741,1,Siri
COMP6741,1,IBM
COMP6741,1,Google_Assistant
COMP6741,1,Amazon_Alexa
COMP6741,1,Cortana
COMP6741,1,Tay_Bridge
COMP6741,1,Question_answering
COMP6741,1,Jeopardy!
COMP6741,1,Gartner
COMP6741,1,ELIZA
COMP6741,2,Resource_Description_Framework
COMP6741,2,DBpedia
COMP6741,2,Serialization
COMP6741,2,Reading
COMP6741,2,Artificial_intelligence
COMP6741,2,Neo4j
COMP6741,2,DBpedia
COMP6741,2,YAGO_(database)
COMP6741,2,SQL
COMP6741,2,Resource_Description_Framework
COMP6741,2,RDF_Schema
COMP6741,2,RDFa
COMP6741,2,Data_type
COMP6741,2,Scion_xA
COMP6741,2,Warner_Music_Group
COMP6741,2,XML
COMP6741,2,RDFa
COMP6741,2,JSON-LD
COMP6741,2,N-Triples
COMP6741,2,XML_schema
COMP6741,2,Mona_Lisa
COMP6741,2,Europeana
COMP6741,2,Resource_Description_Framework
COMP6741,2,Route_nationale_10
COMP6741,3,FOAF_(ontology)
COMP6741,3,Simple_Knowledge_Organization_System
COMP6741,3,Schema.org
COMP6741,3,Reading
COMP6741,3,Semantics
COMP6741,3,Auteur
COMP6741,3,Ghostwriter
COMP6741,3,Semantic_Web
COMP6741,3,Resource_Description_Framework
COMP6741,3,RDF_Schema
COMP6741,3,Transitive_relation
COMP6741,3,Resource_Description_Framework
COMP6741,3,Linked_data
COMP6741,4,Web_Ontology_Language
COMP6741,4,Reading
COMP6741,4,SPARQL
COMP6741,4,RDF_Schema
COMP6741,4,SQL
COMP6741,4,Filtration
COMP6741,4,String_instrument
COMP6741,4,Serialization
COMP6741,4,TriG_(syntax)
COMP6741,4,N-Triples
COMP6741,4,XML_schema
COMP6741,4,N-Triples
COMP6741,4,Open_source
COMP6741,4,RDF_Schema
COMP6741,4,Inference
COMP6741,4,Linked_data
COMP6741,5,Genetic_linkage
COMP6741,5,DBpedia
COMP6741,5,Resource_Description_Framework
COMP6741,5,Reading
COMP6741,5,Linked_data
COMP6741,5,SQL
COMP6741,5,Symmetry
COMP6741,5,Transitive_relation
COMP6741,5,RDF_Schema
COMP6741,5,Simple_Knowledge_Organization_System
COMP6741,5,Resource_Description_Framework
COMP6741,5,SPARQL
COMP6741,5,Freebase
COMP6741,5,Metaweb
COMP6741,5,DBpedia
COMP6741,5,Wikidata
COMP6741,5,BabelNet
COMP6741,5,Reverse_transcriptase
COMP6741,5,Transmission_electron_microscopy
COMP6741,5,Pareto_efficiency
COMP6741,5,SHACL
COMP6741,5,The_Boston_Globe
COMP6741,5,Schema.org
COMP6741,5,Linked_data
COMP6741,6,Personalization
COMP6741,6,Social_norm
COMP6741,6,Trigonometric_functions
COMP6741,6,Weighted_arithmetic_mean
COMP6741,6,Dot_product
COMP6741,6,Personalization
COMP6741,6,FOAF_(ontology)
COMP6741,6,Precision_and_recall
COMP6741,6,Likert_scale
COMP6741,6,Cleopatra
COMP6741,6,Tf–idf
COMP6741,6,Line_Corporation
COMP6741,6,Calpurnia_(wife_of_Caesar)
COMP6741,6,Tf–idf
COMP6741,7,Euclidean_vector
COMP6741,7,Appreciation_Index
COMP6741,7,Machine_learning
COMP6741,7,Conditional_(computer_programming)
COMP6741,7,K-nearest_neighbors_algorithm
COMP6741,7,F1_score
COMP6741,7,Voltaire
COMP6741,7,FN_Herstal
COMP6741,7,Overtraining
SOEN6431,1,Soen
SOEN6431,1,Industry
SOEN6431,1,Programming_language
SOEN6431,1,Percival_Lowell
SOEN6431,1,King_Arthur
SOEN6431,1,Evolution
SOEN6431,1,Code_refactoring
SOEN6431,1,Reverse_engineering
SOEN6431,1,Unified_Modeling_Language
SOEN6431,1,Oxford_English_Dictionary
SOEN6431,1,Outsourcing
SOEN6431,1,Software_testing
SOEN6431,1,IBM
SOEN6431,1,Evolution
SOEN6431,1,Proprietary_software
SOEN6431,1,Cascading_Style_Sheets
SOEN6431,1,Victorian_Railways_E_type_carriage
SOEN6431,1,Commercial_off-the-shelf
SOEN6431,1,Unix
SOEN6431,1,Operating_system
SOEN6431,1,Lincoln_Near-Earth_Asteroid_Research
SOEN6431,1,Evolvability
SOEN6431,1,Mathematics
SOEN6431,1,Theorem
SOEN6431,1,Swimming
SOEN6431,1,Database
SOEN6431,1,Middleware
SOEN6431,2,Program_comprehension
SOEN6431,2,International_Organization_for_Standardization
SOEN6431,2,International_Electrotechnical_Commission
SOEN6431,2,Institute_of_Electrical_and_Electronics_Engineers
SOEN6431,2,International_Organization_for_Standardization
SOEN6431,2,International_Electrotechnical_Commission
SOEN6431,2,Vacuum
SOEN6431,2,Case_study
SOEN6431,2,Maintainability
SOEN6431,2,Value-added_tax
SOEN6431,2,Interoperability
SOEN6431,2,Web_server
SOEN6431,2,Computer_program
SOEN6431,2,Paradigm_shift
SOEN6431,2,Design_rationale
SOEN6431,2,Object-oriented_programming
SOEN6431,2,Ductility
